location_block,text_general_code,crime_type,crime_x,crime_y,lat,lng
1400 BLOCK JOHN F KENNEDY BLVD,All Other Offenses,Non-Violent Crime,-75.163902,39.953456,39.953456,-75.163902
8100 BLOCK STATE RD,All Other Offenses,Non-Violent Crime,-75.01987955,40.0322833,40.0322833,-75.01987955
1300 BLOCK ARROTT ST,Homicide - Criminal,Violent Crime,-75.08637833,40.01794902,40.01794902300003,-75.08637833399996
6700 BLOCK UPLAND ST,Homicide - Criminal,Violent Crime,-75.23887827,39.92539611,39.92539611300003,-75.23887827199997
1500 BLOCK ARROTT ST,Homicide - Criminal,Violent Crime,-75.08550699,40.01747449,40.01747449100003,-75.08550699299997
2800 BLOCK N PARK AV,Homicide - Criminal,Violent Crime,-75.15296036,39.99541606,39.99541605700006,-75.15296036299998
2600 BLOCK JACKSON ST,Homicide - Criminal,Violent Crime,-75.18972269,39.92570242,39.92570242100004,-75.18972268999994
600 BLOCK N 12TH ST,Homicide - Criminal,Violent Crime,-75.15687931,39.96577444,39.96577443900003,-75.15687931199994
100 BLOCK E SOMERSET ST,Homicide - Criminal,Violent Crime,-75.12888202,39.99228041,39.99228041400005,-75.12888202499994
5000 BLOCK OGONTZ AV,Homicide - Criminal,Violent Crime,-75.15328983,40.03001302,40.03001302100006,-75.15328982699998
1000 BLOCK W VENANGO ST,Homicide - Criminal,Violent Crime,-75.14551647,40.00687751,40.00687751000004,-75.14551646699994
300 BLOCK W CUMBERLAND ST,Homicide - Criminal,Violent Crime,-75.138268,39.98866552,39.98866551900005,-75.13826800199996
100 BLOCK W CAMBRIA ST,Homicide - Criminal,Violent Crime,-75.13064116,39.99401024,39.99401024400004,-75.13064116299995
3500 BLOCK F ST,Homicide - Criminal,Violent Crime,-75.11638554,40.00167685,40.00167685300005,-75.11638554299998
7900 BLOCK STATE RD,Homicide - Criminal,Violent Crime,-75.02342994,40.03031665,40.03031664800005,-75.02342993699995
8100 BLOCK STATE RD CFCF,Homicide - Criminal,Violent Crime,-75.02048997,40.03195228,40.03195227600003,-75.02048997299994
2700 BLOCK N 23RD ST,Homicide - Criminal,Violent Crime,-75.16918621,39.99588471,39.99588470800006,-75.16918620799999
6100 BLOCK PASSYUNK AVE,Homicide - Criminal,Violent Crime,-75.20875812,39.91828338,39.91828338400006,-75.20875812399998
4600 BLOCK LEVICK ST,Homicide - Criminal,Violent Crime,-75.05249249,40.0223395,40.022339498000065,-75.05249248699994
200 BLOCK E DUNCANNON AV,Homicide - Criminal,Violent Crime,-75.1208201,40.02860853,40.02860853200008,-75.12082009899996
5800 BLOCK CASTOR AV,Homicide - Criminal,Violent Crime,-75.08428029,40.03220272,40.032202717000075,-75.08428029199996
1300 BLOCK SNYDER AV,Homicide - Criminal,Violent Crime,-75.16803828,39.92416191,39.92416191400008,-75.16803827699994
1500 BLOCK SNYDER AV,Homicide - Criminal,Violent Crime,-75.17143691,39.92459557,39.92459556700004,-75.17143691099994
5800 BLOCK ARCH ST,Homicide - Criminal,Violent Crime,-75.23654632,39.96304992,39.963049918000024,-75.23654632399996
1600 BLOCK N 56TH ST,Homicide - Criminal,Violent Crime,-75.23376916,39.97696272,39.97696272400003,-75.23376915599994
1200 BLOCK N ALDEN ST,Homicide - Criminal,Violent Crime,-75.23499727,39.97044121,39.97044121400006,-75.23499726899996
1200 BLOCK N ALDEN ST,Homicide - Criminal,Violent Crime,-75.23499727,39.97044121,39.97044121400006,-75.23499726899996
1200 BLOCK N ALDEN ST,Homicide - Criminal,Violent Crime,-75.23499727,39.97044121,39.97044121400006,-75.23499726899996
1200 BLOCK W CUMBERLAND ST,Homicide - Criminal,Violent Crime,-75.15154095,39.99037393,39.990373926000075,-75.15154095199995
2200 BLOCK BRYN MAWR AV,Homicide - Criminal,Violent Crime,-75.22659278,39.98981969,39.98981968700008,-75.22659277599996
5100 BLOCK HUTCHINSON ST,Homicide - Criminal,Violent Crime,-75.13882869,40.02969624,40.029696235000074,-75.13882868699994
1400 BLOCK ARROTT ST,Homicide - Criminal,Violent Crime,-75.08594272,40.01771141,40.01771141000006,-75.08594271699997
1400 BLOCK COBBS CREEK,Homicide - Criminal,Violent Crime,-75.23658136,39.94033075,39.94033074600003,-75.23658135799997
800 BLOCK FOULKROD ST,Homicide - Criminal,Violent Crime,-75.09787361,40.02858822,40.02858821700005,-75.09787360699994
2400 BLOCK N STANLEY ST,Homicide - Criminal,Violent Crime,-75.18221972,39.99287226,39.99287226000007,-75.18221971999998
500 BLOCK N 53RD ST,Homicide - Criminal,Violent Crime,-75.22666872,39.96804761,39.96804760900005,-75.22666872399998
1200 BLOCK RISING SUN AV,Homicide - Criminal,Violent Crime,-75.14889351,40.00406101,40.004061010000044,-75.14889351299996
2400 BLOCK S BEULAH ST,Homicide - Criminal,Violent Crime,-75.15956589,39.9191887,39.91918870400008,-75.15956589299998
5900 BLOCK STENTON AV,Homicide - Criminal,Violent Crime,-75.15981179,40.05629185,40.056291851000026,-75.15981178899995
2500 BLOCK N JESSUP ST,Homicide - Criminal,Violent Crime,-75.15048849,39.99030443,39.99030443100003,-75.15048849499993
600 BLOCK S 49TH ST,Homicide - Criminal,Violent Crime,-75.22103176,39.94938788,39.949387881000064,-75.22103175699993
2100 BLOCK N CAMAC ST,Homicide - Criminal,Violent Crime,-75.15363332,39.98434821,39.98434821400008,-75.15363332099997
3100 BLOCK N LEE ST,Homicide - Criminal,Violent Crime,-75.12902777,39.99722694,39.997226943000044,-75.12902777099998
1400 BLOCK OVERINGTON ST,Homicide - Criminal,Violent Crime,-75.08677162,40.01682265,40.01682265000005,-75.08677161799994
4800 BLOCK N LAWRENCE ST,Homicide - Criminal,Violent Crime,-75.13236391,40.02436126,40.02436125500003,-75.13236390699996
1900 BLOCK S SALFORD ST,Homicide - Criminal,Violent Crime,-75.23100481,39.93393458,39.93393458300005,-75.23100481499995
2500 BLOCK A ST,Homicide - Criminal,Violent Crime,-75.12965737,39.98757715,39.987577154000064,-75.12965737399998
2700 BLOCK EMERALD ST,Homicide - Criminal,Violent Crime,-75.12332952,39.98794034,39.98794034300005,-75.12332951799993
200 BLOCK LOCUST ST,Homicide - Justifiable,Violent Crime,-75.14506136,39.94511004,39.94511003500003,-75.14506136199998
6000 BLOCK ANGORA TER,Homicide - Criminal,Violent Crime,-75.24543619,39.94323792,39.94323791700003,-75.24543618499996
800 BLOCK E ALLEGHENY AV,Homicide - Criminal,Violent Crime,-75.11534483,39.99666849,39.99666848600003,-75.11534483199995
3700 BLOCK MANTUA AVE,Homicide - Criminal,Violent Crime,-75.19709443,39.96848779,39.96848778900005,-75.19709443199997
900 BLOCK S 58TH ST,Homicide - Criminal,Violent Crime,-75.24009732,39.94605023,39.94605022800005,-75.24009732299999
2000 BLOCK RIDGE AV,Homicide - Criminal,Violent Crime,-75.16896816,39.97637657,39.97637657100006,-75.16896816399998
5000 BLOCK N BROAD ST,Homicide - Criminal,Violent Crime,-75.14652329,40.03008511,40.03008511200005,-75.14652328999995
4800 BLOCK N BROAD ST,Homicide - Criminal,Violent Crime,-75.14743732,40.02706533,40.02706533000003,-75.14743732399995
4800 BLOCK N BROAD ST,Homicide - Criminal,Violent Crime,-75.14743732,40.02706533,40.02706533000003,-75.14743732399995
1500 BLOCK MARKET ST,Homicide - Criminal,Violent Crime,-75.1660637,39.9526111,39.95261110300004,-75.16606369599998
4200 BLOCK LANCASTER AV,Homicide - Criminal,Violent Crime,-75.20901196,39.96721304,39.96721303600003,-75.20901196499995
3800 BLOCK KENSINGTON AV,Homicide - Criminal,Violent Crime,-75.09905837,40.00444872,40.00444871700006,-75.09905837399998
100 BLOCK E HUNTINGDON ST,Homicide - Criminal,Violent Crime,-75.12842226,39.98890619,39.98890619100007,-75.12842225799994
5500 BLOCK SANSOM ST,Homicide - Criminal,Violent Crime,-75.23163813,39.95846773,39.95846773200003,-75.23163812499996
5100 BLOCK MARKET ST,Homicide - Criminal,Violent Crime,-75.22302126,39.9598566,39.959856599000034,-75.22302126199997
5600 BLOCK VINE ST,Homicide - Criminal,Violent Crime,-75.23291618,39.96580149,39.965801491000036,-75.23291617599995
2500 BLOCK N STANLEY ST,Homicide - Criminal,Violent Crime,-75.18190341,39.99441343,39.994413429000076,-75.18190341399998
6200 BLOCK OGONTZ AV,Homicide - Criminal,Violent Crime,-75.15090998,40.04866726,40.048667256000044,-75.15090998499994
3900 BLOCK N FRANKLIN ST,Homicide - Criminal,Violent Crime,-75.14047125,40.01113134,40.011131341000066,-75.14047124699994
1400 BLOCK N REDFIELD ST,Homicide - Criminal,Violent Crime,-75.23886407,39.97296378,39.97296377600003,-75.23886407399993
2800 BLOCK KENSINGTON AV,Homicide - Criminal,Violent Crime,-75.12103601,39.99237624,39.992376241000045,-75.12103600899997
5600 BLOCK WHITBY AV,Homicide - Criminal,Violent Crime,-75.23286031,39.94309364,39.943093641000075,-75.23286030499997
4800 BLOCK FRANKFORD AV,Homicide - Criminal,Violent Crime,-75.08264588,40.01801028,40.01801027800008,-75.08264588299994
2600 BLOCK TASKER ST,Homicide - Criminal,Violent Crime,-75.18841362,39.93303811,39.93303810700007,-75.18841362199998
600 BLOCK FRANKLIN PL,Homicide - Criminal,Violent Crime,-75.15038979,39.96279078,39.96279078100008,-75.15038979299999
2600 BLOCK GERMANTOWN AV,Homicide - Criminal,Violent Crime,-75.1482238,39.9916069,39.991606897000054,-75.14822379999998
2100 BLOCK S 7TH ST,Homicide - Criminal,Violent Crime,-75.15827589,39.92232829,39.92232829300008,-75.15827589199995
3900 BLOCK BROWN ST,Homicide - Criminal,Violent Crime,-75.20061071,39.96764162,39.96764161500005,-75.20061071199996
0 BLOCK E ARMAT ST,Homicide - Criminal,Violent Crime,-75.17309666,40.03570824,40.035708242000055,-75.17309666499995
0 BLOCK N 52ND ST,Homicide - Criminal,Violent Crime,-75.22474564,39.96103869,39.96103868500006,-75.22474563899993
7100 BLOCK ELMWOOD AV,Homicide - Criminal,Violent Crime,-75.23906812,39.91598516,39.91598515800007,-75.23906811699999
