"","GEOID","NAME","location","year_built.x","number_of_bathrooms.x","number_of_bedrooms.x","total_livable_area.x","sale_price.x","log_sale_price.x","BACH_PROP","WHITE_PROP","Pov_Prop","Vacancy_Rate","MEDHHINCE","near_transit","Dist_Homicide","Dist_BurgRob","Dist_Comcor","parks_400","parks_800","dist_centercity","redlining_grade","industrial_knn31","Name","crime_score","vacant_and_BurgRob","distcentercity_transit","education_and_pov","age","log_liv_area","log_crime_score","name_count","name_cv","predicted","predicted_price","actual_price","error_dollars","residuals","fitted","cooks_d","leverage","is_influential","residual"
"1","421010103001","Block Group 1; Census Tract 103; Philadelphia County; Pennsylvania","5153 HOOPES ST",1925,1,3,1180,180000,12.1007121298723,7.95228628230616,0,43.4393638170974,26.5498652291105,23490,0,1534.7878856816,383.532836302304,1082.53837137757,1,4,17762.4492871335,"4",1179.52948414494,"Mill Creek",569,10182.7451147647,0,345.44225699481,99,7.07411681619736,6.3456363608286,65,"Mill Creek",11.2470669197326,76654.7551634011,180000,103345.244836599,0.853645210138425,11.2470669197339,0.000530533215811563,0.0155635110776788,TRUE,0.853645210139794
"2","421010274021","Block Group 1; Census Tract 274.02; Philadelphia County; Pennsylvania","6062 N PHILIP ST",1953,1,3,990,84000,11.3385720778255,0,0,0,0,81438,1,3011.47261130442,793.591821262625,1497.04031205427,1,3,34869.7279406115,"1",1393.79928579759,"Olney",165,0,34869.7279406115,0,71,6.89871453432999,5.11198778835654,274,"Olney",11.691468390913,119547.419902916,84000,35547.4199029156,-0.352896313089855,11.6914683909153,0.0000253909451705048,0.00445737073907005,FALSE,-0.352896313087568
"3","421010242001","Block Group 1; Census Tract 242; Philadelphia County; Pennsylvania","145 W QUEEN LN",1790,2,4,2346,36000,10.4912742174382,16.8646080760095,33.4916864608076,16.8646080760095,3.84615384615385,54595,1,1792.14055755511,679.219776779635,843.064249976667,1,6,28019.4792597381,"3",352.84326405562,"Germantown, Penn Knox",410,2612.38375684475,28019.4792597381,284.415005557405,234,7.76089319585102,6.01859321449623,12,"Germantown, Penn Knox",12.578498292381,290250.114016279,36000,254250.114016279,-2.08722407494369,12.5784982923819,0.0248332678965725,0.101507674080759,TRUE,-2.08722407494276
"4","421010030022","Block Group 2; Census Tract 30.02; Philadelphia County; Pennsylvania","1620 REED ST",2019,3,4,2160,655000,13.3923905146174,24.7557003257329,28.7730727470141,18.7839305103149,8.1145584725537,53313,0,2317.8930144828,795.267898119648,1096.14546736748,0,6,7356.56027409211,"4",1118.56720088661,"Point Breeze",38,6453.24786063676,0,465.009354652747,5,7.67832635650689,3.66356164612965,496,"Point Breeze",13.3086083610041,602358.680112258,655000,52641.3198877423,0.0837821536132199,13.3086083610042,0.00000115353476333719,0.00359890555024203,FALSE,0.0837821536132406
"5","421010197006","Block Group 6; Census Tract 197; Philadelphia County; Pennsylvania","4257 N DARIEN ST",1940,1,3,1038,50000,10.8197782844103,6.81818181818182,0,72.7272727272727,0,30439,0,1656.06951906154,221.914627049853,2038.43081226385,2,3,24405.9410921485,"3",600.512338674962,"Hunting Park",167,0,0,495.867768595041,84,6.94601399109923,5.12396397940326,116,"Hunting Park",11.5089207423619,99600.3285599488,50000,49600.3285599488,-0.689142457953025,11.5089207423633,0.000202262473314685,0.00922198539601563,FALSE,-0.689142457951633
"6","421010330005","Block Group 5; Census Tract 330; Philadelphia County; Pennsylvania","4616 VISTA ST",1950,1,3,1260,95000,11.4616321705827,0,65.5681818181818,3.18181818181818,0,52237,0,2706.10632125605,575.251240283125,2087.89971467905,1,4,47075.6872412456,"2",937.5279385146,"Holmesburg",253,0,0,0,74,7.13966033596492,5.53733426701854,264,"Holmesburg",12.3129347866266,222556.167431692,95000.0000000001,127556.167431692,-0.851302616043958,12.3129347866266,0.000143145363608786,0.00431940420498692,FALSE,-0.851302616043913
"7","421010244003","Block Group 3; Census Tract 244; Philadelphia County; Pennsylvania","19 W ROCKLAND ST",1920,2,4,1844,30000,10.3089526606443,20.6322795341098,3.16139767054908,16.8053244592346,16.6666666666667,98484,0,2019.51461166606,695.683991853898,488.326627624333,1,9,27308.8798213304,"3",486.345462945007,"Germantown, Southwest",329,11594.733197565,0,346.732151904341,104,7.52023455647463,5.79909265446053,91,"Germantown, Southwest",12.1834585272276,195527.932849645,30000,165527.932849645,-1.87450586658363,12.1834585272279,0.00187242343118272,0.0114860440910572,TRUE,-1.87450586658335
"8","421010275002","Block Group 2; Census Tract 275; Philadelphia County; Pennsylvania","5849 N MARSHALL ST",1945,1,3,1092,20000,9.90348755253613,12.7326880119136,4.3186895011169,13.626209977662,5,60911,0,1436.60195584457,1030.73394069474,1418.8998490826,2,2,33409.1263692279,"1",697.993325326378,"Olney",232,5153.66970347371,0,173.498280430394,79,6.99668148817654,5.4510384535657,274,"Olney",11.8283187755986,137079.835450639,20000,117079.835450639,-1.92483122306263,11.8283187755988,0.000651156560901218,0.00384703893036397,TRUE,-1.92483122306243
"9","421010300004","Block Group 4; Census Tract 300; Philadelphia County; Pennsylvania","5208 DUFFIELD ST",1945,1,3,1324,23000,10.0432494949113,1.24851367419738,0,34.7800237812128,16.5680473372781,28542,1,867.38302528055,684.005024971289,1629.72331531848,0,3,35107.5858333124,"3",289.806637092993,"Frankford",363,11332.6276326604,35107.5858333124,43.4233352797542,79,7.18916773842032,5.89715386763674,212,"Frankford",11.5417221209128,102921.528838256,23000,79921.5288382557,-1.49847262600062,11.5417221209119,0.000548904871806679,0.00533491634041979,TRUE,-1.4984726260015
"10","421010041011","Block Group 1; Census Tract 41.01; Philadelphia County; Pennsylvania","616 HOFFMAN ST",1925,1,3,900,90000,11.4075649493124,6.07476635514019,30.2570093457944,0,6.75675675675676,93393,0,1667.12213364062,364.019285923553,928.540518773887,3,7,10375.6554573175,"4",471.912797490783,"Greenwich",274,2459.58976975374,0,0,99,6.80350525760834,5.61677109766657,64,"Greenwich",12.2625216655942,211614.534589618,90000,121614.534589618,-0.854956716281908,12.2625216655943,0.000549440774391723,0.0160527939864481,TRUE,-0.854956716281754
