"","number_of_bathrooms","number_of_bedrooms","total_livable_area","total_area","sale_price","sale_date","central_air","year_built","location","log_sale_price","OBJECTID","STATEFP10","COUNTYFP10","TRACTCE10","BLKGRPCE10","GEOID","NAMELSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","Shape__Are","Shape__Len","NAME","BACH_PROP","WHITE_PROP","Pov_Prop","Vacancy_Rate","MEDHHINCE","Name.x","Name.y","Name","shape"
"1",1,3,1180,1085,180000,"2024-10-18T04:00:00Z",NA,1925,"5153 HOOPES ST",12.1007121298723,371,"42","101","010300","1","421010103001","Block Group 1","G5030","S",168052,0,"+39.9688966","-075.2256210",1808856.19830322,6807.93809746741,"Block Group 1; Census Tract 103; Philadelphia County; Pennsylvania",7.95228628230616,0,43.4393638170974,26.5498652291105,23490,"Mill Creek","Mill Creek","Mill Creek",c(2676335.21130603, 241255.630890386)
"2",1,3,990,1088,84000,"2024-11-05T05:00:00Z",NA,1953,"6062 N PHILIP ST",11.3385720778255,105,"42","101","027402","1","421010274021","Block Group 1","G5030","S",77719,0,"+40.0427527","-075.1245404",836531.936584473,4096.26601725771,"Block Group 1; Census Tract 274.02; Philadelphia County; Pennsylvania",0,0,0,0,81438,"Olney","Olney","Olney",c(2703405.2936524, 269592.280753372)
"3",2,4,2346,2842,36000,"2024-09-10T04:00:00Z","N",1790,"145 W QUEEN LN",10.4912742174382,1062,"42","101","024200","1","421010242001","Block Group 1","G5030","S",158955,0,"+40.0307172","-075.1700734",1710920.0838623,5483.06042552356,"Block Group 1; Census Tract 242; Philadelphia County; Pennsylvania",16.8646080760095,33.4916864608076,16.8646080760095,3.84615384615385,54595,"Germantown, Penn Knox","Germantown, Penn Knox","Germantown, Penn Knox",c(2690482.7942628, 264070.979927673)
"4",3,4,2160,1160,655000,"2024-10-13T04:00:00Z","Y",2019,"1620 REED ST",13.3923905146174,505,"42","101","003002","2","421010030022","Block Group 2","G5030","S",49611,0,"+39.9334004","-075.1716147",534016.284790039,3005.8877787151,"Block Group 2; Census Tract 30.02; Philadelphia County; Pennsylvania",24.7557003257329,28.7730727470141,18.7839305103149,8.1145584725537,53313,"Point Breeze","Point Breeze","Point Breeze",c(2691436.59887983, 229100.057218937)
"5",1,3,1038,593,50000,"2024-09-10T04:00:00Z","N",1940,"4257 N DARIEN ST",10.8197782844103,726,"42","101","019700","6","421010197006","Block Group 6","G5030","S",73896,0,"+40.0179924","-075.1397873",795382.889831543,4317.92350275774,"Block Group 6; Census Tract 197; Philadelphia County; Pennsylvania",6.81818181818182,0,72.7272727272727,0,30439,"Hunting Park","Hunting Park","Hunting Park",c(2699379.21790961, 259852.716832068)
"6",1,3,1260,900,95000,"2024-12-03T05:00:00Z","N",1950,"4616 VISTA ST",11.4616321705827,835,"42","101","033000","5","421010330005","Block Group 5","G5030","S",121204,0,"+40.0322709","-075.0339284",1304589.66320801,4679.9168350396,"Block Group 5; Census Tract 330; Philadelphia County; Pennsylvania",0,65.5681818181818,3.18181818181818,0,52237,"Holmesburg","Holmesburg","Holmesburg",c(2729511.63274162, 266356.086254852)
"7",2,4,1844,1507,30000,"2024-06-04T04:00:00Z","Y",1920,"19 W ROCKLAND ST",10.3089526606443,227,"42","101","024400","3","421010244003","Block Group 3","G5030","S",165271,0,"+40.0264336","-075.1646196",1778900.70397949,6731.00721913384,"Block Group 3; Census Tract 244; Philadelphia County; Pennsylvania",20.6322795341098,3.16139767054908,16.8053244592346,16.6666666666667,98484,"Germantown, Southwest","Germantown, Southwest","Germantown, Southwest",c(2693138.96153682, 263507.883804633)
"8",1,3,1092,1238,20000,"2024-07-02T04:00:00Z","N",1945,"5849 N MARSHALL ST",9.90348755253613,110,"42","101","027500","2","421010275002","Block Group 2","G5030","S",119433,0,"+40.0391995","-075.1312550",1285533.10821533,5142.04514860312,"Block Group 2; Census Tract 275; Philadelphia County; Pennsylvania",12.7326880119136,4.3186895011169,13.626209977662,5,60911,"Olney","Olney","Olney",c(2701361.94548606, 268637.340099761)
"9",1,3,1324,1038,23000,"2024-11-05T05:00:00Z","N",1945,"5208 DUFFIELD ST",10.0432494949113,444,"42","101","030000","4","421010300004","Block Group 4","G5030","S",102596,0,"+40.0219437","-075.0765491",1104316.09967041,4372.65264797058,"Block Group 4; Census Tract 300; Philadelphia County; Pennsylvania",1.24851367419738,0,34.7800237812128,16.5680473372781,28542,"Frankford","Frankford","Frankford",c(2717332.6760718, 261851.346984585)
"10",1,3,900,644,90000,"2024-04-16T04:00:00Z","N",1925,"616 HOFFMAN ST",11.4075649493124,689,"42","101","004101","1","421010041011","Block Group 1","G5030","S",98498,0,"+39.9234971","-075.1564479",1060219.59130859,4159.44776149418,"Block Group 1; Census Tract 41.01; Philadelphia County; Pennsylvania",6.07476635514019,30.2570093457944,0,6.75675675675676,93393,"Greenwich","Greenwich","Greenwich",c(2695679.1230524, 226086.088556254)
"11",1,3,976,1073,20000,"2024-10-18T04:00:00Z",NA,1940,"413 W COURTLAND ST",9.90348755253613,149,"42","101","028700","1","421010287001","Block Group 1","G5030","S",173289,0,"+40.0219665","-075.1331300",1902321.21142578,6009.34108427887,"Block Group 1; Census Tract 287; Philadelphia County; Pennsylvania",3.07548928238583,0.698974836905871,47.1575023299161,4.84848484848485,43200,"Feltonville","Feltonville","Feltonville",c(2701506.11295522, 261401.317638821)
"12",2,3,1190,1099,76000,"2024-12-03T05:00:00Z","Y",1920,"2106 E CAMBRIA ST",11.2384886192685,1335,"42","101","017900","5","421010179005","Block Group 5","G5030","S",275799,0,"+39.9858493","-075.1177472",2968630.99694824,9625.93835602623,"Block Group 5; Census Tract 179; Philadelphia County; Pennsylvania",16.4315352697095,52.5311203319502,20.746887966805,21.5552523874488,85741,"Richmond","Richmond","Richmond",c(2706235.80932083, 249614.666018509)
"13",1,3,1334,1547,106100,"2024-06-02T04:00:00Z","N",1945,"111 W GRANGE AVE",11.5721373246021,98,"42","101","027300","4","421010273004","Block Group 4","G5030","S",78687,0,"+40.0384973","-075.1220845",846956.318664551,3693.84999179164,"Block Group 4; Census Tract 273; Philadelphia County; Pennsylvania",0,4.5477513895907,5.65942395149065,0,49416,"Olney","Olney","Olney",c(2704468.74392645, 267882.214990777)
"14",1,3,1278,2519,40000,"2024-11-05T05:00:00Z",NA,1940,"958 WAGNER AVE",10.5966347330961,301,"42","101","028200","2","421010282002","Block Group 2","G5030","S",341285,0,"+40.0340503","-075.1371492",3697749.57324219,10614.5897567694,"Block Group 2; Census Tract 282; Philadelphia County; Pennsylvania",3.64864864864865,4.72972972972973,55.2702702702703,0,12044,"Olney","Olney","Olney",c(2699777.26062511, 266586.948827694)
"15",1,0,1120,896,40000,"2024-04-02T04:00:00Z","N",1935,"1129 W WESTMORELAND ST",10.5966347330961,74,"42","101","019900","4","421010199004","Block Group 4","G5030","S",311989,0,"+40.0031634","-075.1446793",3358128.11743164,9559.32225781756,"Block Group 4; Census Tract 199; Philadelphia County; Pennsylvania",8.7737843551797,0,18.2875264270613,8.18414322250639,81593,"Franklinville","Franklinville","Franklinville",c(2697334.10119772, 254600.246995522)
"16",1,3,1344,945,41000,"2024-12-03T05:00:00Z","Y",1915,"1537 DYRE ST",10.6213273456864,452,"42","101","030200","1","421010302001","Block Group 1","G5030","S",322765,0,"+40.0242722","-075.0788173",3474115.54278564,8571.03795099965,"Block Group 1; Census Tract 302; Philadelphia County; Pennsylvania",8.07635829662261,27.6064610866373,14.5374449339207,14.5413870246085,35524,"Frankford","Frankford","Frankford",c(2716230.12121956, 262106.493756464)
"17",2,3,1845,11198,50000,"2023-11-15T05:00:00Z","Y",1961,"1110 NORWALK RD",10.8197782844103,838,"42","101","035601","2","421010356012","Block Group 2","G5030","S",527727,0,"+40.1008162","-075.0358714",5690017.55029297,10478.4774277068,"Block Group 2; Census Tract 356.01; Philadelphia County; Pennsylvania",34.6938775510204,77.0800627943485,11.6169544740973,0,108977,"Bustleton","Bustleton","Bustleton",c(2726356.44507512, 290859.231454697)
"18",1,3,1060,928,47000,"2024-07-09T04:00:00Z",NA,1920,"2835 N 5TH ST",10.7579028806922,1117,"42","101","017601","2","421010176012","Block Group 2","G5030","S",82374,0,"+39.9942548","-075.1387715",886637.766723633,4427.88345063624,"Block Group 2; Census Tract 176.01; Philadelphia County; Pennsylvania",4.06189555125725,4.90006447453256,49.3230174081238,17.1974522292994,20269,"Fairhill","Fairhill","Fairhill",c(2699816.08477015, 251621.740904666)
